ISO3,Country,hdicode,region,hdi_rank_2021,co2_prod_1990,co2_prod_1991,co2_prod_1992,co2_prod_1993,co2_prod_1994,co2_prod_1995,co2_prod_1996,co2_prod_1997,co2_prod_1998,co2_prod_1999,co2_prod_2000,co2_prod_2001,co2_prod_2002,co2_prod_2003,co2_prod_2004,co2_prod_2005,co2_prod_2006,co2_prod_2007,co2_prod_2008,co2_prod_2009,co2_prod_2010,co2_prod_2011,co2_prod_2012,co2_prod_2013,co2_prod_2014,co2_prod_2015,co2_prod_2016,co2_prod_2017,co2_prod_2018,co2_prod_2019,co2_prod_2020,co2_prod_2021
AFG,Afghanistan,Low,SA,180,0.209727313,0.182524769,0.095232862,0.084284849,0.075053905,0.067943421,0.061787143,0.056005215,0.052143695,0.040132679,0.036461584,0.036930645,0.046529388,0.050082617,0.035959937,0.050802445,0.061869518,0.083710521,0.151484676,0.237367297,0.287738705,0.401953514,0.327921976,0.261571351,0.232967187,0.229679525,0.190616791,0.188995444,0.22449203,0.319299157,0.312376488,0.312376488
AGO,Angola,Medium,SSA,148,0.429585937,0.413433009,0.40801538,0.439646536,0.286179828,0.785137201,0.723852747,0.494076954,0.473215418,0.575425435,0.580410214,0.570697567,0.719093563,0.49604119,0.996932266,0.977996771,1.09686395,1.194779541,1.174720223,1.224334013,1.235836444,1.252224289,1.346212079,1.277247837,1.235861225,1.205735928,1.088803397,0.953168429,0.791170676,0.737991588,0.675409733,0.675409733
ALB,Albania,High,ECA,67,1.656901718,1.288960628,0.768726936,0.724712295,0.607846322,0.663842752,0.643237487,0.494104044,0.560680905,0.952766151,0.960136365,1.029074954,1.199000572,1.357238224,1.321688484,1.360271607,1.254806937,1.261998195,1.422796584,1.430821164,1.508841688,1.717787934,1.601834668,1.697126858,1.940610537,1.555329452,1.556278015,1.838241795,1.642152952,1.688177757,1.575753953,1.575753953
AND,Andorra,Very High,,40,7.461153204,7.176510032,6.906330662,6.730576832,6.488823651,6.656538763,7.059353636,7.233820946,7.654578903,7.968929626,8.012693072,7.780549739,7.584405202,7.30972097,7.352578564,7.293925216,6.740582519,6.514077693,6.422575183,6.116524395,6.117538396,5.862657767,5.91201912,5.896947037,5.828083774,5.964928023,6.067376483,6.043168271,6.42339558,6.505535247,6.034944671,6.034944671
ARE,United Arab Emirates,Very High,AS,26,28.2776718,29.25602676,28.13451859,30.17091866,31.64455835,28.98952006,28.66139766,27.36461775,28.67983026,26.14393497,35.66843923,30.45702647,24.05966235,28.45383482,27.47938465,24.95032393,22.96858556,21.60277187,21.71803122,20.90336288,21.12537468,21.57104173,22.0473646,22.3301163,21.91483231,23.38178108,22.93208617,17.79568752,16.01124042,15.78070133,15.19333592,15.19333592
ARG,Argentina,Very High,LAC,47,3.436043385,3.552274857,3.615658722,3.467091997,3.552892636,3.668435637,3.823431596,3.860107244,3.866847603,4.038835647,3.861005191,3.594944496,3.301128618,3.5347476,4.079900089,4.150733716,4.444121715,4.390799937,4.693244738,4.420377371,4.566075714,4.604828112,4.591399834,4.505954707,4.42467432,4.466724129,4.389426792,4.274395193,4.082391913,3.741917524,3.473291552,3.473291552
ARM,Armenia,High,ECA,85,2.533031897,2.079247804,1.702936868,0.765660811,0.826301814,1.067090038,0.819197903,1.043443068,1.092808636,0.987205659,1.137415376,1.15800146,1.014114143,1.145022486,1.230104775,1.467898402,1.487878033,1.739128656,1.917308257,1.510789822,1.478007826,1.727388965,1.993007502,1.910209457,1.924214628,1.869492708,1.772052655,1.880133429,1.973679976,1.869270735,1.987788379,1.987788379
ATG,Antigua and Barbuda,High,LAC,71,3.515864893,3.353638329,3.239440989,3.286559132,3.216772811,3.254696374,3.393897938,3.576927368,3.7028843,3.778155717,3.856030309,3.843703051,4.211763203,4.43556116,4.560844453,4.587614313,4.651770168,4.840168519,4.891272527,5.110783206,5.16131231,4.967227992,5.065867336,5.044582368,4.987575895,5.129854862,5.194071535,5.145138641,5.175207195,5.008031467,4.395122997,4.395122997
AUS,Australia,Very High,,5,16.47140133,16.39813628,16.45381873,16.54952607,16.86006186,17.11895366,17.39113655,17.79005781,18.2222369,18.44770432,18.52517591,18.77889343,18.92201107,19.01905029,19.45538877,19.20860479,19.35539488,19.21585818,19.20343074,18.45083211,18.25949272,17.98490913,17.58062846,16.90699079,16.92009349,16.85069952,17.14339271,16.87035228,16.70811553,16.44699216,15.36837971,15.36837971
AUT,Austria,Very High,,25,8.045120443,8.457574786,7.69212302,7.686282182,7.679979223,8.011292945,8.400654888,8.372107325,8.318192276,8.152897618,8.196373504,8.661506878,8.844277865,9.473079992,9.452335792,9.579761681,9.268958449,8.91259851,8.808010327,8.036965061,8.561324213,8.267426715,7.911256663,7.919250031,7.447394806,7.645373825,7.684141657,7.89112032,7.48650267,7.589237956,6.732425105,6.732425105
