ISO3,Country,hdicode,region,hdi_rank_2021,gnipc_1990,gnipc_1991,gnipc_1992,gnipc_1993,gnipc_1994,gnipc_1995,gnipc_1996,gnipc_1997,gnipc_1998,gnipc_1999,gnipc_2000,gnipc_2001,gnipc_2002,gnipc_2003,gnipc_2004,gnipc_2005,gnipc_2006,gnipc_2007,gnipc_2008,gnipc_2009,gnipc_2010,gnipc_2011,gnipc_2012,gnipc_2013,gnipc_2014,gnipc_2015,gnipc_2016,gnipc_2017,gnipc_2018,gnipc_2019,gnipc_2020,gnipc_2021
AFG,Afghanistan,Low,SA,180,2684.550019,2276.289409,2059.868084,1525.533426,1087.96189,1339.087122,1332.30721,1230.26129,1149.90239,1071.800919,984.9974338,894.0245886,1267.628852,1401.324413,1384.695729,1435.19173,1518.767846,1811.166659,1753.066993,1884.200863,1938.315627,1999.653042,2125.862821,2193.553936,2178.507021,2101.589319,2077.566899,2085.487571,2054.939895,2097.88945,1997.852149,1824.190915
AGO,Angola,Medium,SSA,148,4845.706901,5405.349257,2073.90239,2034.215197,1557.198363,3411.90693,3372.994265,3980.79539,3902.583775,3524.189975,3690.604857,3900.710372,4659.954466,4684.384828,4929.945484,5390.699648,5672.126464,6359.181376,6490.787737,6999.175405,6911.740241,6885.53639,7280.845666,7478.104777,7704.231949,7652.656486,7189.426672,6861.575738,6381.521946,6082.746624,5593.14206,5465.617791
ALB,Albania,High,ECA,67,4742.215529,3358.087827,3080.746654,3538.885493,3940.312045,4583.051036,5044.975175,4496.163681,4952.596957,5595.612697,6065.195257,6645.348336,6920.555095,7341.564007,7756.648389,8197.993857,8814.501734,9399.46896,9962.442236,10153.09601,10643.05764,11056.64517,11146.26303,11552.98247,11691.64829,12016.2976,12484.6242,12802.14831,13302.70596,13485.31124,12996.76291,14131.11039
AND,Andorra,Very High,,40,43773.1465,43175.1476,41935.7872,40085.31589,39923.54588,40270.7679,41014.57879,44756.59597,46319.68664,48047.57776,47849.49243,50235.66715,50489.27491,52529.42795,54521.78059,55553.50369,56696.60874,56399.72175,52516.10603,49377.46694,48410.27165,48812.02903,47126.81461,46385.0952,48483.72032,49936.87454,52267.73832,52650.22576,53483.30663,54465.0474,47878.66664,51166.62661
ARE,United Arab Emirates,Very High,AS,26,102433.136,96250.29036,93043.47737,92505.3311,96784.42694,101303.2758,101490.2439,103567.0353,99915.7695,98569.19252,104640.2807,103519.0537,96736.92556,97761.53732,98236.07759,92443.55639,88502.51225,79459.26304,69814.63137,59017.26106,54911.24407,56152.06467,57445.95475,60005.69536,62573.50531,65577.51224,66881.32974,67667.50846,67195.09523,68590.90094,63016.40122,62573.59181
ARG,Argentina,Very High,LAC,47,13597.68636,14803.99888,15940.72602,17132.68448,17874.84399,17091.77126,17782.84547,18984.60422,19427.08332,18535.78094,18180.44981,17153.2977,14727.85071,16057.21074,16058.54354,17271.06449,20131.40256,21872.98639,22558.47112,20884.44997,22734.96712,23944.3551,23557.51314,23915.41972,23087.86964,23508.76738,22694.2851,22996.67142,21924.73119,21197.74104,19178.33184,20925.26814
ARM,Armenia,High,ECA,85,5210.201884,4633.9383,2741.695896,2560.861392,2752.65061,3097.536757,3334.672127,3596.499376,3778.688421,3923.756144,4178.388592,4602.441726,5264.791554,6031.859191,6753.741256,7747.421747,8881.593116,10262.08008,11125.75363,9428.797679,9745.427269,10072.89566,10830.55372,11351.53875,11518.60475,11774.34934,11570.46772,12541.16263,12933.83405,13847.90825,12454.14508,13157.9939
ATG,Antigua and Barbuda,High,LAC,71,13560.30944,14154.41386,14185.23142,14895.35744,15516.76116,14501.13254,15209.58976,15843.65803,16310.15498,16557.38996,16065.83719,15678.54545,15586.60406,16396.23817,16972.51905,18213.73908,20253.5277,21792.18713,21504.71644,18698.75383,17233.05965,16539.63424,16745.79664,16722.97555,17119.31079,17679.66135,18421.76805,18775.95101,19857.12506,20600.95888,16265.29515,16792.36595
AUS,Australia,Very High,,5,29069.15488,28846.41579,30007.87767,30994.67247,31444.1912,32280.32494,33260.0375,34482.04196,35853.05196,36955.25519,37296.64145,38413.32271,39098.35275,40207.44158,40599.52063,41039.08996,41648.29006,42531.66846,42767.77538,42644.38741,42840.45928,44205.31566,44878.41764,45260.60917,45851.64201,46307.57617,46558.17827,47085.22714,47487.64407,47312.192,47078.24446,49238.43335
AUT,Austria,Very High,,25,38902.26267,39777.96789,40438.79593,40348.79883,40981.36293,41623.42655,42493.16783,43139.89851,44553.74381,45450.38304,47031.30264,47170.8938,48192.81367,48499.13214,49555.32049,50119.4083,51755.56802,53226.17902,54019.90627,51759.08206,52538.42144,53124.04133,52887.1943,52625.83517,52720.29769,52450.23877,53662.57417,53665.02668,54587.74445,55323.03915,51574.18306,53618.67138
AZE,Azerbaijan,High,ECA,91,7664.923538,7492.116393,5710.440705,4329.430055,3432.851857,2984.995309,2987.724673,3135.094917,3439.324499,3800.755097,3950.606449,4269.774168,4600.462762,5000.826699,5269.435457,6282.770808,8305.227742,9998.115702,11490.25501,12823.27086,13476.36462,12980.47536,13262.756,13958.10444,14481.31337,14405.94934,13401.18041,13587.53119,13502.96367,13838.46183,13567.9371,14256.74456
BDI,Burundi,Low,SSA,187,1124.247756,1169.362419,1161.764398,1061.41947,1009.199532,924.4378387,831.6358509,828.9864418,862.6893416,838.8970676,840.888229,815.3949158,826.9496615,787.9544301,794.6123457,786.2207272,809.5529235,812.5069795,825.7337431,823.7437753,841.7400149,846.0294333,860.4779094,878.1187171,884.172209,824.8696219,794.5204667,772.4022889,763.4331718,753.9089436,735.7371044,731.7867086
BEL,Belgium,Very High,,13,37310.42543,38013.54744,38437.90313,38288.6253,39684.17044,40409.00945,40705.62742,42112.15687,42943.50772,44046.86365,45184.55302,45220.35759,45852.84486,46045.2601,46978.0485,47530.82806,48260.64006,49710.56168,49018.84914,48339.3418,48513.05855,47497.60421,48583.46685,48783.26894,49281.30405,50027.9913,50509.14666,50904.68909,51249.2268,52434.09838,49391.99684,52293.39977
