ISO3,Country,hdicode,region,hdi_rank_2021,le_1990,le_1991,le_1992,le_1993,le_1994,le_1995,le_1996,le_1997,le_1998,le_1999,le_2000,le_2001,le_2002,le_2003,le_2004,le_2005,le_2006,le_2007,le_2008,le_2009,le_2010,le_2011,le_2012,le_2013,le_2014,le_2015,le_2016,le_2017,le_2018,le_2019,le_2020,le_2021
AFG,Afghanistan,Low,SA,180,45.9672,46.6631,47.5955,51.4664,51.4945,52.5442,53.2433,53.6342,52.9431,54.8464,55.2978,55.7981,56.4538,57.3445,57.9436,58.3608,58.6844,59.1113,59.8515,60.3636,60.8508,61.4191,61.923,62.4167,62.5451,62.6587,63.1361,63.016,63.081,63.5645,62.5751,61.9824
AGO,Angola,Medium,SSA,148,41.8933,43.8127,42.2088,42.1009,43.4217,45.8491,46.0329,46.3065,45.057,45.3858,46.0236,46.5905,47.3865,49.6173,50.592,51.5699,52.3688,53.6419,54.6327,55.7516,56.7258,57.5961,58.6231,59.3074,60.0397,60.6546,61.0923,61.6798,62.1438,62.4484,62.2612,61.6434
ALB,Albania,High,ECA,67,73.1439,73.3776,73.7148,73.9391,74.1313,74.3616,74.5923,73.9039,74.9899,75.1828,75.4043,75.6388,75.8899,76.1421,76.3761,76.6208,76.8162,77.5491,77.6529,77.781,77.9359,78.0919,78.064,78.1226,78.4075,78.6441,78.8602,79.0473,79.1838,79.2825,76.9893,76.4626
AND,Andorra,Very High,,40,78.4063,77.9805,80.3241,78.6633,82.638,78.9616,80.334,80.9439,79.4259,81.3173,80.9193,81.6857,82.2368,83.9209,80.0836,81.7599,82.9664,82.6594,82.6982,82.752,82.8156,82.8975,82.9166,82.9343,82.9483,82.9534,82.9671,82.9803,82.9923,83.0039,79.0234,80.3684
ARE,United Arab Emirates,Very High,AS,26,71.9004,72.2414,72.3062,72.5213,72.5982,72.6945,72.7674,72.9367,73.0658,73.6697,74.38,74.6356,74.901,76.2223,76.4532,76.6825,76.9087,77.1289,77.4877,78.003,78.3335,78.5168,78.7155,78.8528,79.0442,79.2232,79.3347,79.5036,79.6274,79.7262,78.9457,78.7104
ARG,Argentina,Very High,LAC,47,71.7837,72.319,72.4295,72.5646,73.1725,73.1333,73.3066,73.0899,73.4737,73.7219,73.926,74.1864,74.408,74.0801,74.8549,75.1388,75.4326,75.0057,75.6411,75.9359,75.7208,76.124,76.4669,76.4908,76.7549,76.7602,76.3077,76.833,76.9994,77.2845,75.8921,75.3899
ARM,Armenia,High,ECA,85,68.8209,68.6431,68.6266,68.8415,69.0725,69.3108,69.7828,69.9098,70.5142,70.2565,70.6236,70.932,71.0179,71.4356,71.4205,71.7922,71.9868,72.3271,72.3985,72.8125,73.1597,73.3045,73.454,73.6759,74.0577,74.4361,74.6639,74.9059,75.0645,75.4386,72.173,72.0431
ATG,Antigua and Barbuda,High,LAC,71,73.4922,73.4354,73.4168,73.4819,73.5912,73.6363,73.8291,73.9603,74.0413,74.3467,74.6058,75.0781,75.5357,75.4778,75.6721,75.8254,75.7647,76.1311,76.4103,76.6694,76.8195,77.1038,77.3502,77.5834,77.8577,77.9127,78.1516,78.2683,78.5112,78.6912,78.8406,78.4968
AUS,Australia,Very High,,5,77.0443,77.4831,77.4765,78.0098,77.8558,78.2619,78.3492,78.6317,79.0275,79.2855,79.6309,80.0165,80.0639,80.4549,80.7512,81.1126,81.2822,81.2603,81.4589,81.7661,82.055,82.1336,82.3456,82.6041,82.5677,82.6552,82.8707,83.0006,83.3871,83.11,84.3239,84.5265
AUT,Austria,Very High,,25,75.7396,75.7931,75.9931,76.2258,76.5425,76.7766,77.0268,77.4292,77.7833,77.956,78.2358,78.7192,78.8469,78.8496,79.3632,79.521,79.9655,80.1672,80.3639,80.207,80.4643,80.8285,80.841,81.0783,81.3903,81.1594,81.5925,81.6391,81.6862,81.9077,81.5036,81.5797
AZE,Azerbaijan,High,ECA,91,62.3522,62.0524,61.2956,61.2856,61.5941,62.3052,62.6217,62.9728,63.5609,64.1892,64.8905,65.5101,66.2392,66.7563,67.3461,67.5619,68.1653,68.6032,68.8112,69.3556,69.5291,69.9835,70.3598,70.8814,71.1163,71.4512,72.0039,72.2478,72.7601,73.1023,66.8679,69.3658
BDI,Burundi,Low,SSA,187,44.8599,44.2265,43.8951,37.105,44.0802,44.0593,44.3734,45.3874,46.5522,47.5278,47.5142,48.4314,49.8911,50.857,52.0101,53.0231,53.8694,54.7265,55.7101,56.3882,57.0809,57.7692,58.4927,59.2346,59.8684,60.2172,60.7931,61.5526,61.6884,62.3514,61.5663,61.6627
BEL,Belgium,Very High,,13,76.0554,76.1962,76.3554,76.3611,76.7142,76.8385,77.1825,77.4004,77.4743,77.6457,77.7665,78.0807,78.1667,78.3198,78.9599,79.0526,79.3884,79.5262,79.5769,79.847,80.033,80.3649,80.2607,80.468,81.0811,80.8898,81.2661,81.3618,81.4787,81.8311,80.7884,81.8787
BEN,Benin,Low,SSA,166,53.2918,53.6238,54.089,54.5366,54.9104,55.2947,55.5578,55.978,56.2177,56.5256,56.5779,56.6604,56.6064,56.7378,56.8257,57.1252,57.4555,57.6752,57.8689,57.9557,58.3627,58.4624,58.7159,58.9654,59.1249,59.3771,59.5394,59.8558,60.1403,60.4537,60.088,59.821
BFA,Burkina Faso,Low,SSA,184,49.4401,49.4502,49.4373,49.2089,49.3069,49.4459,49.6143,49.3997,49.9911,50.3255,50.8468,51.0706,51.2722,51.7927,52.4161,53.0916,53.7422,54.3747,55.342,55.9595,56.4768,57.1246,57.6187,57.8234,58.3589,58.8454,59.3262,59.5361,60.0466,60.0391,59.7306,59.2696
BGD,Bangladesh,Medium,SA,129,55.9886,54.1544,57.6352,57.927,58.6166,59.4673,59.4925,61.4268,63.9168,66.2284,65.7791,66.1353,66.6115,66.8242,67.1874,67.2992,67.2413,66.7144,67.0506,67.4032,68.6384,68.8094,69.554,69.5646,69.9856,70.4913,71.09,71.7879,72.5675,72.8057,71.9678,72.3811
BGR,Bulgaria,High,,68,71.3571,71.2267,71.215,71.2257,70.9011,71.0024,70.8738,70.3511,70.9124,71.5962,71.6091,71.9145,72.1619,72.4077,72.6094,72.5924,72.7215,73.037,73.3647,73.7049,73.8348,74.1895,74.3572,74.8489,74.4824,74.6325,74.8336,74.7992,74.8983,75.0624,73.6453,71.798
BHR,Bahrain,Very High,AS,35,72.6677,72.7642,72.953,73.375,73.5173,73.7988,74.3554,74.5353,74.6408,74.9801,75.4964,75.9082,76.0875,76.3373,76.5598,76.9306,77.1555,77.6338,78.0838,78.4613,78.748,78.8902,79.0813,79.2463,79.3278,79.4046,79.5569,79.689,79.8566,80.0186,79.1735,78.7605
BHS,Bahamas,Very High,LAC,55,70.1331,69.6157,70.6679,70.6559,70.8507,70.7628,70.7101,71.0541,71.4558,71.7709,72.0411,72.1101,72.2316,72.402,72.478,72.7654,72.855,72.6785,72.6671,72.5794,72.7314,72.5638,72.7528,73.0237,73.3658,73.104,73.5368,73.6317,73.8057,71.205,72.6766,71.5983
BIH,Bosnia and Herzegovina,High,ECA,74,72.3487,72.0887,51.7847,51.5189,67.2094,70.2839,73.4305,73.6865,73.9007,75.0764,74.4957,75.06,74.6115,75.7822,76.1329,75.42,76.2468,76.1609,76.8378,76.9764,77.0729,77.0069,77.1914,76.3304,75.6586,76.1819,76.8083,76.9349,77.0926,77.2412,76.2254,75.3003
BLR,Belarus,Very High,ECA,60,69.9347,69.7159,69.3996,68.6412,69.2323,68.7966,68.9011,68.6524,68.6405,68.375,69.1801,68.864,68.4835,68.939,69.4064,69.4163,69.9876,70.7622,70.9218,71.0939,71.1219,71.5165,72.6137,72.9891,73.5849,73.9874,74.258,74.4519,74.5676,74.216,72.5132,72.438
BLZ,Belize,Medium,LAC,123,70.7437,70.2484,69.9793,69.9882,70.3164,69.8874,69.8058,69.2118,68.5988,68.7734,68.5645,68.3572,68.7521,68.9091,69.227,69.3757,70.0932,70.6549,71.1507,71.8186,72.2716,72.6512,73.245,73.6661,73.3107,73.1866,73.3988,73.5624,73.7031,73.9313,72.854,70.4697
BOL,Bolivia (Plurinational State of),Medium,LAC,118,56.4221,57.0973,57.6287,58.4179,58.9886,59.5337,60.0837,60.7521,61.3317,61.8711,62.3461,62.8426,63.3064,63.6348,64.0041,64.3856,64.7793,65.0267,65.4459,65.8803,66.1624,66.5337,66.7046,67.0207,67.1632,67.3182,67.6277,67.7015,67.748,67.841,64.4667,63.6304
BRA,Brazil,High,LAC,87,65.9848,66.3096,66.7082,67.1092,67.5684,67.9191,68.409,68.8128,69.1885,69.5237,69.7367,70.1949,70.4103,70.7204,71.1307,71.7533,72.0373,72.3653,72.7153,72.9484,73.1821,73.3432,73.5517,73.9185,74.3058,74.3325,74.4415,74.8266,75.1095,75.3379,74.0089,72.7504
BRB,Barbados,High,LAC,70,72.7516,72.843,72.9152,73.1904,73.2113,73.2983,73.5458,73.5475,73.7278,74.0387,74.0891,74.2467,74.3656,74.4717,74.7268,74.8901,75.0683,75.3424,75.4471,75.678,75.7115,75.9166,76.0987,76.2752,76.4758,76.6502,76.8149,76.936,77.067,77.2569,77.3929,77.5714
BRN,Brunei Darussalam,Very High,EAP,51,71.6563,71.8711,72.0808,72.3118,72.5529,72.8161,73.0996,73.364,73.6188,73.8628,74.0801,74.2764,74.4256,74.5605,74.6497,74.7309,74.7829,74.818,74.84,74.8457,74.8492,74.858,74.8274,74.7992,74.7788,74.7498,74.7332,74.722,74.7118,74.7483,74.7949,74.6424
BTN,Bhutan,Medium,SA,127,55.9679,56.642,57.4231,58.1173,58.6353,59.5164,60.2116,60.8522,61.549,62.2301,62.0103,63.4443,64.0779,64.6962,65.2678,65.805,66.3617,66.9537,67.4991,67.897,68.4298,68.881,69.3261,69.7072,70.0486,70.3433,70.6022,70.8472,71.1286,71.3909,71.6094,71.815
BWA,Botswana,Medium,SSA,117,60.5327,59.4734,58.3482,57.7188,56.1542,55.0594,54.3573,53.4482,52.5226,51.6943,51.0109,50.6757,50.6324,50.9468,51.6168,52.6104,53.9182,55.732,57.1206,58.2791,60.0133,60.5302,60.8004,61.9958,62.6076,63.8183,65.4644,66.7526,65.4224,65.4636,65.6471,61.1409
CAF,Central African Republic,Low,SSA,188,49.6347,49.2516,48.7932,48.353,47.8529,47.35,46.8311,46.3192,46.0249,45.7504,45.406,45.3926,45.4092,45.76,46.0383,46.4331,46.8514,47.4262,48.0155,48.6476,49.2549,49.9482,50.6861,50.902,50.5655,52.793,53.4601,53.7207,54.3693,55.0253,54.6042,53.8947
CAN,Canada,Very High,,15,77.4308,77.5917,77.8501,77.7229,77.8991,78.0194,78.271,78.4642,78.6739,78.8851,79.2335,79.4507,79.568,79.7396,80.0332,80.1364,80.5466,80.5495,80.7388,81.0737,81.3469,81.5286,81.7221,81.8029,81.8545,81.9246,82.0434,82.0192,82.0508,82.3628,82.0471,82.6565
CHE,Switzerland,Very High,,1,77.3849,77.648,77.9437,78.2332,78.4942,78.5648,79.0489,79.2324,79.4749,79.7231,79.8335,80.2507,80.4431,80.532,81.0534,81.2338,81.5464,81.6988,81.9664,81.985,82.2831,82.5707,82.6158,82.6903,83.0849,82.8468,83.4452,83.4125,83.5615,83.7802,83.067,83.9872
CHL,Chile,Very High,LAC,42,72.574,73.5741,74.1354,74.1953,74.6139,74.6085,74.8988,75.5958,75.6695,76.0176,76.8695,76.7726,77.4445,77.3867,77.6161,78.0159,78.261,77.8258,78.4841,78.7409,78.5015,79.1099,79.0233,79.3391,79.4726,79.746,80.0794,80.3501,80.1334,80.3263,79.3769,78.9435
